"id_peserta","nama","nama_ayah","nama_ibu","nama_wali","id_pendidikan_ayah","nama_pendidikan_ayah","id_pendidikan_ibu","nama_pendidikan_ibu","id_pendidikan_wali","nama_pendidikan_wali","nama_penghasilan_ayah","id_penghasilan_ayah","nama_penghasilan_ibu","id_penghasilan_ibu","nama_penghasilan_wali","id_penghasilan_wali"
1,Sileas Darbyshire,Trefor,Aprilette,,7,Doktoral,2,Sekolah Menengah Pertama,,,"0 - 1 Juta",1,"500 Juta - 1 Miliar",8,,
2,Tully Rigler,Alejoa,Raychel,,2,Sekolah Menengah Pertama,1,Sekolah Dasar,,,"10 Juta - 20 Juta",4,"50 Juta - 100 Juta",6,,
3,Melony Cleary,Arlen,Cele,,7,Doktoral,3,Sekolah Menengah Atas,,,"0 - 1 Juta",1,"10 Juta - 20 Juta",4,,
4,Faye Reddy,Wolfgang,Randee,,6,Magister,1,Sekolah Dasar,,,"50 Juta - 100 Juta",6,"10 Juta - 20 Juta",4,,
5,Celina Trevenu,Burtie,Doti,,2,Sekolah Menengah Pertama,3,Sekolah Menengah Atas,,,"500 Juta - 1 Miliar",8,"10 Juta - 20 Juta",4,,
6,Sybille Itzakovitz,Shannan,Constantine,,5,Sarjana,4,Diploma,,,"1 Juta - 5 Juta",2,"0 - 1 Juta",1,,
7,Egon Osbourn,Thain,Viola,,5,Sarjana,2,Sekolah Menengah Pertama,,,"1 Juta - 5 Juta",2,"100 Juta - 500 Juta",7,,
8,Mill Tabart,Cecilio,Imojean,,5,Sarjana,5,Sarjana,,,"20 Juta - 50 Juta",5,"50 Juta - 100 Juta",6,,
9,Patrizia Caush,Norby,Laurette,,2,Sekolah Menengah Pertama,4,Diploma,,,"20 Juta - 50 Juta",5,"100 Juta - 500 Juta",7,,
10,Anselm Billany,Cristian,Janaya,,1,Sekolah Dasar,6,Magister,,,"50 Juta - 100 Juta",6,"50 Juta - 100 Juta",6,,
11,Rowena Aubri,Mitchel,Nell,,2,Sekolah Menengah Pertama,6,Magister,,,"1 Juta - 5 Juta",2,"0 - 1 Juta",1,,
12,Hetti Nix,Harp,Latrina,,2,Sekolah Menengah Pertama,3,Sekolah Menengah Atas,,,"100 Juta - 500 Juta",7,"0 - 1 Juta",1,,
13,Jonathon McVeagh,Pierce,Monah,,5,Sarjana,3,Sekolah Menengah Atas,,,"500 Juta - 1 Miliar",8,"50 Juta - 100 Juta",6,,
14,Marina Turk,Ganny,Fleur,,5,Sarjana,4,Diploma,,,"10 Juta - 20 Juta",4,"20 Juta - 50 Juta",5,,
