"id_peserta","nama","nama_prodi","periode_tahun","periode_bulan","periode_tanggal","label_status_seleksi"
21,Em MacIlurick,Ekonomi,2020,6,1,Diterima
53,Heywood Scobie,Ekonomi,2020,6,1,Diterima
62,Jacob Proffitt,Ekonomi,2020,6,1,Diterima
84,Rachele Kasting,Ekonomi,2020,6,1,Diterima
97,Pennie Garlette,Ekonomi,2020,6,1,Diterima
98,Linn Moyer,Ekonomi,2020,6,1,Diterima
116,Abe McQuade,Ekonomi,2020,6,1,Diterima
123,Nanon Oakwood,Ekonomi,2020,6,1,Diterima
193,Nathan Lowdwell,Ekonomi,2020,6,1,Diterima
213,Nicolette Szymonowicz,Ekonomi,2020,6,1,Diterima
217,Agnese Biddlestone,Ekonomi,2020,6,1,Diterima
238,Rana Cranstone,Ekonomi,2020,6,1,Diterima
240,Cordell Neggrini,Ekonomi,2020,6,1,Diterima
254,Courtnay O' Dooley,Ekonomi,2020,6,1,Diterima
290,Farly Main,Ekonomi,2020,6,1,Diterima
320,Parke Buffy,Ekonomi,2020,6,1,Diterima
333,Suzy Querree,Ekonomi,2020,6,1,Diterima
342,Susanne Bachellier,Ekonomi,2020,6,1,Diterima
390,Chadwick Hogben,Ekonomi,2020,6,1,Diterima
449,Lyndsie Manders,Ekonomi,2020,6,1,Diterima
477,Rosalind Aslin,Ekonomi,2020,6,1,Diterima
494,Marthena Ballham,Ekonomi,2020,6,1,Diterima
545,Idalia Martyntsev,Ekonomi,2020,6,1,Diterima
566,Leta Limpertz,Ekonomi,2020,6,1,Diterima
567,Hugues Ellson,Ekonomi,2020,6,1,Diterima
573,Jeffry Grieve,Ekonomi,2020,6,1,Diterima
589,Loleta Simonich,Ekonomi,2020,6,1,Diterima
600,Rollins Vivyan,Ekonomi,2020,6,1,Diterima
619,Dasha Thunnercliff,Ekonomi,2020,6,1,Diterima
636,Shawna Rosas,Ekonomi,2020,6,1,Diterima
659,Marius Coorington,Ekonomi,2020,6,1,Diterima
670,Mahmud Dudenie,Ekonomi,2020,6,1,Diterima
676,Heinrik Eilles,Ekonomi,2020,6,1,Diterima
685,Ephraim Kendrick,Ekonomi,2020,6,1,Diterima
711,Antonella Shelmardine,Ekonomi,2020,6,1,Diterima
721,Granger Parvin,Ekonomi,2020,6,1,Diterima
745,Shae Anthill,Ekonomi,2020,6,1,Diterima
753,Jules Lacrouts,Ekonomi,2020,6,1,Diterima
854,Idaline Goney,Ekonomi,2020,6,1,Diterima
932,Reinhold Coggings,Ekonomi,2020,6,1,Diterima
954,Claudie Haile,Ekonomi,2020,6,1,Diterima
972,Llywellyn Sawers,Ekonomi,2020,6,1,Diterima
982,Gaven Goodreid,Ekonomi,2020,6,1,Diterima
741,Keith Peskin,Fisika,2020,6,1,Diterima
747,Tuck Lofty,Fisika,2020,6,1,Diterima
755,Ericka Wimpress,Fisika,2020,6,1,Diterima
776,Baird Murfin,Fisika,2020,6,1,Diterima
784,Anabelle McBeith,Fisika,2020,6,1,Diterima
785,Anya Brockwell,Fisika,2020,6,1,Diterima
815,Nealson Kirvell,Fisika,2020,6,1,Diterima
851,Donnamarie Van den Hof,Fisika,2020,6,1,Diterima
870,Serena Espadater,Fisika,2020,6,1,Diterima
925,Patty Lyster,Fisika,2020,6,1,Diterima
977,Kinsley Loxley,Fisika,2020,6,1,Diterima
992,Darcy Stenners,Fisika,2020,6,1,Diterima
24,Kendell Wickwarth,Fisika,2020,6,1,Diterima
57,Price Full,Fisika,2020,6,1,Diterima
95,Rosamond Crooks,Fisika,2020,6,1,Diterima
107,Ade Pentlow,Fisika,2020,6,1,Diterima
117,Dana Pettifor,Fisika,2020,6,1,Diterima
119,Niels Sausman,Fisika,2020,6,1,Diterima
128,Marlin Shearn,Fisika,2020,6,1,Diterima
148,Renaud Philipeau,Fisika,2020,6,1,Diterima
182,Sunshine Watmore,Fisika,2020,6,1,Diterima
205,Kitti Verlinden,Fisika,2020,6,1,Diterima
207,Kirby Cleary,Fisika,2020,6,1,Diterima
218,Patricio Goodliff,Fisika,2020,6,1,Diterima
235,Aubine Erskine Sandys,Fisika,2020,6,1,Diterima
239,Patrice Janda,Fisika,2020,6,1,Diterima
249,Ben Waldram,Fisika,2020,6,1,Diterima
265,Aubry Lipson,Fisika,2020,6,1,Diterima
274,Terry McInally,Fisika,2020,6,1,Diterima
338,Ethelyn Borrott,Fisika,2020,6,1,Diterima
349,Rooney Stalley,Fisika,2020,6,1,Diterima
360,Elenore Caff,Fisika,2020,6,1,Diterima
410,Enrico Croad,Fisika,2020,6,1,Diterima
426,Sawyer Clorley,Fisika,2020,6,1,Diterima
460,Karlik Meacher,Fisika,2020,6,1,Diterima
461,Tremain Tiltman,Fisika,2020,6,1,Diterima
493,Frannie Alston,Fisika,2020,6,1,Diterima
496,Marti Steet,Fisika,2020,6,1,Diterima
503,Inglis Obispo,Fisika,2020,6,1,Diterima
511,Ogdan Eagan,Fisika,2020,6,1,Diterima
548,Dill Hayto,Fisika,2020,6,1,Diterima
577,Dolph Carson,Fisika,2020,6,1,Diterima
590,Hannah Say,Fisika,2020,6,1,Diterima
608,Harlen Olivetti,Fisika,2020,6,1,Diterima
620,Tabbitha Pennrington,Fisika,2020,6,1,Diterima
713,Jo Jagiela,Fisika,2020,6,1,Diterima
326,Sollie Kilgrew,Ilmu Komunikasi,2020,6,1,Diterima
350,Junie Caiger,Ilmu Komunikasi,2020,6,1,Diterima
368,Rosemarie Rosina,Ilmu Komunikasi,2020,6,1,Diterima
383,Roselle Collington,Ilmu Komunikasi,2020,6,1,Diterima
421,Ivy Burgisi,Ilmu Komunikasi,2020,6,1,Diterima
485,Rowan Ord,Ilmu Komunikasi,2020,6,1,Diterima
513,Danette Darth,Ilmu Komunikasi,2020,6,1,Diterima
518,Godiva Tinsley,Ilmu Komunikasi,2020,6,1,Diterima
528,Galvin Goulder,Ilmu Komunikasi,2020,6,1,Diterima
533,Benjy Meert,Ilmu Komunikasi,2020,6,1,Diterima
560,Reyna Timpany,Ilmu Komunikasi,2020,6,1,Diterima
606,Lian Matityahu,Ilmu Komunikasi,2020,6,1,Diterima
618,Giovanni Manjin,Ilmu Komunikasi,2020,6,1,Diterima
644,Jervis Surgeon,Ilmu Komunikasi,2020,6,1,Diterima
650,Kayley Deeming,Ilmu Komunikasi,2020,6,1,Diterima
658,Kath Macer,Ilmu Komunikasi,2020,6,1,Diterima
671,Hildagarde Carslake,Ilmu Komunikasi,2020,6,1,Diterima
690,Hurlee Jammet,Ilmu Komunikasi,2020,6,1,Diterima
695,Angus Rossiter,Ilmu Komunikasi,2020,6,1,Diterima
696,Darcey Grut,Ilmu Komunikasi,2020,6,1,Diterima
712,Marcelline Tolworth,Ilmu Komunikasi,2020,6,1,Diterima
736,Merrielle Gillogley,Ilmu Komunikasi,2020,6,1,Diterima
789,Kalli Kahn,Ilmu Komunikasi,2020,6,1,Diterima
850,Abigael Bentham3,Ilmu Komunikasi,2020,6,1,Diterima
858,Russell Driver,Ilmu Komunikasi,2020,6,1,Diterima
861,Rosene Tidcomb,Ilmu Komunikasi,2020,6,1,Diterima
865,Conn Walewski,Ilmu Komunikasi,2020,6,1,Diterima
884,Dayna Jutson,Ilmu Komunikasi,2020,6,1,Diterima
893,Yvonne Copper,Ilmu Komunikasi,2020,6,1,Diterima
900,Lovell Tuxwell,Ilmu Komunikasi,2020,6,1,Diterima
902,Arman Peirazzi,Ilmu Komunikasi,2020,6,1,Diterima
938,Marlon Duplock,Ilmu Komunikasi,2020,6,1,Diterima
959,Cristobal Perrycost,Ilmu Komunikasi,2020,6,1,Diterima
973,Renate Beckford,Ilmu Komunikasi,2020,6,1,Diterima
983,Tory Wetherell,Ilmu Komunikasi,2020,6,1,Diterima
988,Tory Pavier,Ilmu Komunikasi,2020,6,1,Diterima
43,Helyn Whitrod,Ilmu Komunikasi,2020,6,1,Diterima
59,Jourdan Boots,Ilmu Komunikasi,2020,6,1,Diterima
67,Thornton Skull,Ilmu Komunikasi,2020,6,1,Diterima
70,Reid Bredee,Ilmu Komunikasi,2020,6,1,Diterima
110,Nikolai Youthead,Ilmu Komunikasi,2020,6,1,Diterima
115,Mal Dugan,Ilmu Komunikasi,2020,6,1,Diterima
137,Bennie Boam,Ilmu Komunikasi,2020,6,1,Diterima
138,Meta Whylie,Ilmu Komunikasi,2020,6,1,Diterima
151,Cele Bear,Ilmu Komunikasi,2020,6,1,Diterima
187,Pail Andreu,Ilmu Komunikasi,2020,6,1,Diterima
203,Margalo Linke,Ilmu Komunikasi,2020,6,1,Diterima
206,Angelita Pirot,Ilmu Komunikasi,2020,6,1,Diterima
209,Dewie Saint,Ilmu Komunikasi,2020,6,1,Diterima
215,Hewie Mallabund,Ilmu Komunikasi,2020,6,1,Diterima
237,April Britton,Ilmu Komunikasi,2020,6,1,Diterima
246,Moritz Sanz,Ilmu Komunikasi,2020,6,1,Diterima
259,Jaclin Climpson,Ilmu Komunikasi,2020,6,1,Diterima
271,Wyatt Yashin,Ilmu Komunikasi,2020,6,1,Diterima
280,Amalle Sabben,Ilmu Komunikasi,2020,6,1,Diterima
488,Tab Tinton,Kedokteran Umum,2020,6,1,Diterima
515,Francoise Phelit,Kedokteran Umum,2020,6,1,Diterima
534,Tracee Gianettini,Kedokteran Umum,2020,6,1,Diterima
595,Dieter Rollingson,Kedokteran Umum,2020,6,1,Diterima
601,Ebenezer Blakeslee,Kedokteran Umum,2020,6,1,Diterima
